Origin,Destination,Refugees,Asylum,Total Population
Afghanistan,France,2590,595,3185
Pakistan,France,547,1205,1752
Serbia and Kosovo (S/RES/1244 (1999)),France,11506,1139,12645
Somalia,France,1489,0,1489
Syrian Arab Rep.,France,640,0,640
,,16772,2939,
Afghanistan,Germany,31746,14357,46103
Pakistan,Germany,6943,5436,12379
Serbia and Kosovo (S/RES/1244 (1999)),Germany,113809,10620,124429
Somalia,Germany,3634,1972,5606
Syrian Arab Rep.,Germany,18165,5986,24151
,,174297,38371,
Afghanistan,Italy,5058,1162,6220
Pakistan,Italy,2232,2032,4264
Serbia and Kosovo (S/RES/1244 (1999)),Italy,2511,282,2793
Somalia,Italy,9284,494,9778
Syrian Arab Rep.,Italy,445,507,952
,,19530,4477,
Afghanistan,Sweden,8454,2353,10807
Pakistan,Sweden,209,226,435
Serbia and Kosovo (S/RES/1244 (1999)),Sweden,4315,1741,6056
Somalia,Sweden,19416,2563,21979
Syrian Arab Rep.,Sweden,6051,3751,9802
,,38445,10634,
Afghanistan,Turkey,3517,14587,18104
Pakistan,Turkey,19,35,54
Somalia,Turkey,1669,389,2058
Syrian Arab Rep.,Turkey,248466,200,248666
,,253671,15211,
Afghanistan,United Kingdom,9845,1262,11107
Pakistan,United Kingdom,4751,2926,7677
Serbia and Kosovo (S/RES/1244 (1999)),United Kingdom,2328,35,2363
Somalia,United Kingdom,15134,475,15609
Syrian Arab Rep.,United Kingdom,1717,389,2106
,,33775,5087,
