Origin,Destination,Refugees,Asylum,Total Population
Afghanistan,France,3838,424,4262
Pakistan,France,836,2286,3122
Serbia and Kosovo (S/RES/1244 (1999)),France,12119,2780,14899
Somalia,France,1896,515,2411
Syrian Arab Rep.,France,2882,1239,4121
,,21571,7244,
Afghanistan,Germany,27814,19023,46837
Pakistan,Germany,4331,9125,13456
Serbia and Kosovo (S/RES/1244 (1999)),Germany,9294,27788,37082
Somalia,Germany,4205,8386,12591
Syrian Arab Rep.,Germany,40994,29591,70585
,,86638,93913,
Afghanistan,Italy,8991,1778,10769
Pakistan,Italy,5764,5066,10830
Serbia and Kosovo (S/RES/1244 (1999)),Italy,2686,129,2815
Somalia,Italy,12213,431,12644
Syrian Arab Rep.,Italy,1144,331,1475
,,30798,7735,
Afghanistan,Sweden,12090,2263,14353
Pakistan,Sweden,305,296,601
Serbia and Kosovo (S/RES/1244 (1999)),Sweden,3082,2008,5090
Somalia,Sweden,21189,3907,25096
Syrian Arab Rep.,Sweden,34285,19011,53296
,,70951,27485,
Afghanistan,Turkey,4188,33108,37296
Pakistan,Turkey,28,1827,1855
Somalia,Turkey,2389,1020,3409
Syrian Arab Rep.,Turkey,1557899,250,1558149
,,1564504,36205,
Afghanistan,United Kingdom,9054,1894,10948
Pakistan,United Kingdom,5667,3852,9519
Serbia and Kosovo (S/RES/1244 (1999)),United Kingdom,410,41,451
Somalia,United Kingdom,8512,568,9080
Syrian Arab Rep.,United Kingdom,4573,1329,5902
,,28216,7684,
